id,SMILES,PesoMolecular,NumAtomos,NumEnlaces,NumAtomosCarbono,NumAtomosOxigeno,NumAtomosNitrogeno,NumAtomosAzufre,NumAtomosHidrogeno,NumHeteroatomos,HDonadores,HAceptores,LogP,TPSA,NumRotables,NumAnillosAromaticos,FraccionSP3,NumAnillos,RadioGiro,AreaSuperficie,NumAtomosHalogenos,IndiceRefractivo,NumAtomosPesados,FraccionC,FraccionO,FraccionN,FraccionS,FraccionH,FraccionHeteroatomos,IC50_mean,IC50_std
21,c1c(oc(c1)c1sc(nn1)NCc1occc1)[N+](=O)[O-],292.276,20,22,11,4,4,1,0,9,1,8,2.9114000000000004,107.23000000000002,5,3,0.09090909090909091,3,0,115.7501428809924,0,70.3001,20,0.55,0.2,0.2,0.05,0.0,0.45,41.0,0.82
22,c1c(oc(c1)c1sc(nn1)NCc1ccccc1)[N+](=O)[O-],302.31500000000005,21,23,13,3,4,1,0,8,1,7,3.3184000000000013,94.09,5,3,0.07692307692307693,3,0,122.95581361691556,0,78.03410000000002,21,0.6190476190476191,0.14285714285714285,0.19047619047619047,0.047619047619047616,0.0,0.38095238095238093,258.0,0.45
23,c1c(oc(c1)c1sc(nn1)NCc1ccc(cc1)OC)[N+](=O)[O-],332.34100000000007,23,25,14,4,4,1,0,9,1,8,3.327000000000001,103.32000000000001,6,3,0.14285714285714285,3,0,134.43430096081906,0,84.58610000000004,23,0.6086956521739131,0.17391304347826086,0.17391304347826086,0.043478260869565216,0.0,0.391304347826087,306.0,0.65
24,c1c(oc(c1)c1sc(nn1)NCc1ncccc1)[N+](=O)[O-],303.30300000000005,21,23,12,3,5,1,0,9,1,8,2.7134,106.98000000000002,5,3,0.08333333333333333,3,0,122.17546159786207,0,75.82910000000001,21,0.5714285714285714,0.14285714285714285,0.23809523809523808,0.047619047619047616,0.0,0.42857142857142855,36.0,0.87
25,c1c(oc(c1)c1sc(nn1)NCc1cnccc1)[N+](=O)[O-],303.30300000000005,21,23,12,3,5,1,0,9,1,8,2.7134,106.98000000000002,5,3,0.08333333333333333,3,0,122.17546159786205,0,75.82910000000001,21,0.5714285714285714,0.14285714285714285,0.23809523809523808,0.047619047619047616,0.0,0.42857142857142855,26.0,0.6
26,O=[N+]([O-])c1cc(sc1)C,143.167,9,9,5,2,1,1,0,4,0,3,1.9647199999999998,43.14,1,1,0.2,1,0,56.089684226804856,0,35.71040000000001,9,0.5555555555555556,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.4444444444444444,64.0,0.32
27,O=[N+]([O-])c1cc(sc1)CC,157.194,10,10,6,2,1,1,0,4,0,3,2.2187,43.14,2,1,0.3333333333333333,1,0,62.45462634120147,0,40.35140000000001,10,0.6,0.2,0.1,0.1,0.0,0.4,98.4,0.12
28,O=[N+]([O-])c1cc(sc1)C1CC1,169.20499999999998,11,12,7,2,1,1,0,4,0,3,2.5337000000000005,43.14,2,1,0.42857142857142855,2,0,67.81373730206886,0,42.94840000000002,11,0.6363636363636364,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.0,0.36363636363636365,97.3,0.98
29,O=[N+]([O-])c1cc(sc1)CCCCO,201.24699999999996,13,13,8,3,1,1,0,5,1,4,1.9712999999999998,63.370000000000005,5,1,0.5,1,0,79.97874432219072,0,50.99720000000002,13,0.6153846153846154,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.0,0.38461538461538464,3.0,0.41
30,O=[N+]([O-])c1cc(sc1)CCCO,187.21999999999997,12,12,7,3,1,1,0,5,1,4,1.5812,63.370000000000005,4,1,0.42857142857142855,1,0,73.61380220779411,0,46.380200000000016,12,0.5833333333333334,0.25,0.08333333333333333,0.08333333333333333,0.0,0.4166666666666667,104.0,0.7
31,O=[N+]([O-])c1cc(sc1)CC(CO)OC,217.24599999999998,14,14,8,4,1,1,0,6,1,5,1.2060999999999995,72.60000000000001,5,1,0.5,1,0,85.09228955169759,0,52.56020000000002,14,0.5714285714285714,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.0,0.42857142857142855,56.0,0.74
32,O=[N+]([O-])c1cc(sc1)CCCCCO,215.27399999999994,14,14,9,3,1,1,0,5,1,4,2.361400000000001,63.370000000000005,6,1,0.5555555555555556,1,0,86.34368643658733,0,55.614200000000025,14,0.6428571428571429,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.0,0.35714285714285715,3.0,0.5
33,O=[N+]([O-])c1cc(sc1)CCCN(CC)CC,242.34399999999994,16,16,11,2,2,1,0,5,0,4,2.9307000000000016,46.38,7,1,0.6363636363636364,1,0,100.0391705833879,0,67.08240000000004,16,0.6875,0.125,0.125,0.0625,0.0,0.3125,36.0,0.24
34,O=[N+]([O-])c1cc(sc1)CCCN(C)C,214.28999999999996,14,14,9,2,2,1,0,5,0,4,2.1505,46.38,5,1,0.5555555555555556,1,0,87.30928635459468,0,57.84840000000003,14,0.6428571428571429,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.0,0.35714285714285715,25.0,0.17
35,O=[N+]([O-])c1cc(sc1)CCCCOCCC,243.32799999999992,16,16,11,3,1,1,0,5,0,4,3.4056000000000015,52.370000000000005,8,1,0.6363636363636364,1,0,99.3928821426914,0,65.02140000000003,16,0.6875,0.1875,0.0625,0.0625,0.0,0.3125,42.0,0.45
36,O=[N+]([O-])c1cc(sc1)CC=C,169.20499999999998,11,11,7,2,1,1,0,4,0,3,2.3848000000000003,43.14,3,1,0.14285714285714285,1,0,68.12996542341384,0,44.874400000000016,11,0.6363636363636364,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.0,0.36363636363636365,34.3,0.5
37,O=[N+]([O-])c1cc(sc1)CC#C,167.189,11,11,7,2,1,1,0,4,0,3,1.8319999999999999,43.14,2,1,0.14285714285714285,1,0,67.81879384745736,0,43.51040000000001,11,0.6363636363636364,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.0,0.36363636363636365,61.2,0.22
38,O=[N+]([O-])c1ccc(-c2nnc(NCC3CCCCO3)s2)s1,326.40299999999996,21,23,12,3,4,2,0,9,1,8,3.155800000000001,90.18,5,2,0.5,3,0,128.67717806514688,0,81.95710000000003,21,0.5714285714285714,0.14285714285714285,0.19047619047619047,0.09523809523809523,0.0,0.42857142857142855,35.8,0.62
39,O=[N+]([O-])c1ccc(-c2nnc(NCc3ccccc3)s2)s1,318.383,21,23,13,2,4,2,0,8,1,7,3.786900000000001,80.95,5,3,0.07692307692307693,3,0,127.80184762325023,0,83.64510000000003,21,0.6190476190476191,0.09523809523809523,0.19047619047619047,0.09523809523809523,0.0,0.38095238095238093,115.6,0.63
40,COc1ccc(CNc2nnc(-c3ccc([N+](=O)[O-])s3)s2)cc1,348.40900000000005,23,25,14,3,4,2,0,9,1,8,3.7955000000000023,90.18,6,3,0.14285714285714285,3,0,139.2803349671537,0,90.1971,23,0.6086956521739131,0.13043478260869565,0.17391304347826086,0.08695652173913043,0.0,0.391304347826087,198.0,0.48
41,O=[N+]([O-])c1ccc(-c2nnc(NCc3ccccn3)s2)s1,319.371,21,23,12,2,5,2,0,9,1,8,3.1819000000000006,93.84,5,3,0.08333333333333333,3,0,127.02149560419672,0,81.44010000000002,21,0.5714285714285714,0.09523809523809523,0.23809523809523808,0.09523809523809523,0.0,0.42857142857142855,228.0,0.9
42,O=[N+]([O-])c1ccc(-c2nnc(NCc3cccnc3)s2)s1,319.371,21,23,12,2,5,2,0,9,1,8,3.1819000000000015,93.84,5,3,0.08333333333333333,3,0,127.02149560419672,0,81.44010000000002,21,0.5714285714285714,0.09523809523809523,0.23809523809523808,0.09523809523809523,0.0,0.42857142857142855,156.0,0.16
